,station_id,stationname,date,daytype,rides
0,40350,UIC-Halsted,12/08/2017,W,7462
1,40350,UIC-Halsted,12/30/2017,A,837
2,40350,UIC-Halsted,12/13/2017,W,5828
3,40350,UIC-Halsted,12/11/2017,W,5614
4,40350,UIC-Halsted,12/20/2017,W,3072
5,40350,UIC-Halsted,12/01/2017,W,7718
6,40350,UIC-Halsted,12/28/2017,W,1575
7,40350,UIC-Halsted,12/04/2017,W,7800
8,40350,UIC-Halsted,12/19/2017,W,3306
9,40350,UIC-Halsted,12/06/2017,W,7813
10,40350,UIC-Halsted,12/29/2017,W,1472
11,40350,UIC-Halsted,12/17/2017,U,1321
12,40350,UIC-Halsted,12/25/2017,U,369
13,40350,UIC-Halsted,12/15/2017,W,5217
14,40350,UIC-Halsted,12/27/2017,W,1347
15,40350,UIC-Halsted,12/05/2017,W,7731
16,40350,UIC-Halsted,12/02/2017,A,2340
17,40350,UIC-Halsted,12/31/2017,U,800
18,40350,UIC-Halsted,12/14/2017,W,5493
19,40350,UIC-Halsted,12/09/2017,A,1947
20,40350,UIC-Halsted,12/22/2017,W,2334
21,40350,UIC-Halsted,12/24/2017,U,659
22,40350,UIC-Halsted,12/07/2017,W,7661
23,40350,UIC-Halsted,12/18/2017,W,3216
24,40350,UIC-Halsted,12/16/2017,A,1915
25,40350,UIC-Halsted,12/12/2017,W,5553
26,40350,UIC-Halsted,12/26/2017,W,1019
27,40350,UIC-Halsted,12/23/2017,A,997
28,40350,UIC-Halsted,12/10/2017,U,1285
29,40350,UIC-Halsted,12/21/2017,W,2718
30,40350,UIC-Halsted,12/03/2017,U,1645
31,40350,UIC-Halsted,03/07/2018,W,7467
32,40350,UIC-Halsted,02/04/2018,U,1085
33,40350,UIC-Halsted,02/13/2018,W,7493
34,40350,UIC-Halsted,03/04/2018,U,1397
35,40350,UIC-Halsted,03/08/2018,W,7258
36,40350,UIC-Halsted,02/02/2018,W,6829
37,40350,UIC-Halsted,01/20/2018,A,2216
38,40350,UIC-Halsted,01/08/2018,W,2800
39,40350,UIC-Halsted,03/23/2018,W,6685
40,40350,UIC-Halsted,02/28/2018,W,7501
41,40350,UIC-Halsted,03/01/2018,W,7118
42,40350,UIC-Halsted,03/11/2018,U,1376
43,40350,UIC-Halsted,01/18/2018,W,7420
44,40350,UIC-Halsted,02/24/2018,A,2185
45,40350,UIC-Halsted,03/20/2018,W,7017
46,40350,UIC-Halsted,02/21/2018,W,7634
47,40350,UIC-Halsted,01/10/2018,W,3168
48,40350,UIC-Halsted,01/03/2018,W,2249
49,40350,UIC-Halsted,03/25/2018,U,1430
50,40350,UIC-Halsted,03/19/2018,W,7067
51,40350,UIC-Halsted,01/14/2018,U,1218
52,40350,UIC-Halsted,03/09/2018,W,6909
53,40350,UIC-Halsted,02/03/2018,A,1769
54,40350,UIC-Halsted,02/09/2018,W,3640
55,40350,UIC-Halsted,01/22/2018,W,7505
56,40350,UIC-Halsted,02/20/2018,W,7203
57,40350,UIC-Halsted,03/10/2018,A,2061
58,40350,UIC-Halsted,03/27/2018,W,3200
59,40350,UIC-Halsted,03/30/2018,W,2701
60,40350,UIC-Halsted,01/25/2018,W,7505
61,40350,UIC-Halsted,03/12/2018,W,7260
62,40350,UIC-Halsted,03/17/2018,A,3027
63,40350,UIC-Halsted,03/28/2018,W,3198
64,40350,UIC-Halsted,02/18/2018,U,1362
65,40350,UIC-Halsted,03/18/2018,U,1532
66,40350,UIC-Halsted,02/05/2018,W,6982
67,40350,UIC-Halsted,02/08/2018,W,7342
68,40350,UIC-Halsted,02/19/2018,W,6488
69,40350,UIC-Halsted,03/29/2018,W,3085
70,40350,UIC-Halsted,01/15/2018,W,2004
71,40350,UIC-Halsted,03/22/2018,W,7000
72,40350,UIC-Halsted,01/13/2018,A,1361
73,40350,UIC-Halsted,01/30/2018,W,7324
74,40350,UIC-Halsted,02/07/2018,W,7438
75,40350,UIC-Halsted,01/16/2018,W,7476
76,40350,UIC-Halsted,02/15/2018,W,7412
77,40350,UIC-Halsted,03/21/2018,W,7270
78,40350,UIC-Halsted,01/07/2018,U,763
79,40350,UIC-Halsted,03/05/2018,W,7054
80,40350,UIC-Halsted,03/03/2018,A,1978
81,40350,UIC-Halsted,03/31/2018,A,1399
82,40350,UIC-Halsted,02/01/2018,W,7382
83,40350,UIC-Halsted,01/21/2018,U,1293
84,40350,UIC-Halsted,02/22/2018,W,7328
85,40350,UIC-Halsted,02/14/2018,W,7881
86,40350,UIC-Halsted,03/15/2018,W,7326
87,40350,UIC-Halsted,03/14/2018,W,7550
88,40350,UIC-Halsted,02/26/2018,W,7193
89,40350,UIC-Halsted,01/26/2018,W,7355
90,40350,UIC-Halsted,01/23/2018,W,7508
91,40350,UIC-Halsted,02/25/2018,U,1468
92,40350,UIC-Halsted,02/12/2018,W,7328
93,40350,UIC-Halsted,02/10/2018,A,1861
94,40350,UIC-Halsted,03/02/2018,W,6799
95,40350,UIC-Halsted,01/09/2018,W,3019
96,40350,UIC-Halsted,03/13/2018,W,7299
97,40350,UIC-Halsted,02/17/2018,A,1976
98,40350,UIC-Halsted,02/27/2018,W,7262
99,40350,UIC-Halsted,01/12/2018,W,2845
100,40350,UIC-Halsted,02/23/2018,W,7036
101,40350,UIC-Halsted,01/28/2018,U,1276
102,40350,UIC-Halsted,01/31/2018,W,7657
103,40350,UIC-Halsted,01/29/2018,W,7366
104,40350,UIC-Halsted,01/19/2018,W,7238
105,40350,UIC-Halsted,01/04/2018,W,2293
106,40350,UIC-Halsted,03/24/2018,A,1921
107,40350,UIC-Halsted,01/02/2018,W,1936
108,40350,UIC-Halsted,01/27/2018,A,2073
109,40350,UIC-Halsted,01/05/2018,W,2209
110,40350,UIC-Halsted,01/17/2018,W,7635
111,40350,UIC-Halsted,03/26/2018,W,3007
112,40350,UIC-Halsted,02/11/2018,U,1231
113,40350,UIC-Halsted,03/16/2018,W,7166
114,40350,UIC-Halsted,03/06/2018,W,7222
115,40350,UIC-Halsted,01/24/2018,W,7619
116,40350,UIC-Halsted,01/01/2018,U,657
117,40350,UIC-Halsted,01/06/2018,A,998
118,40350,UIC-Halsted,02/16/2018,W,7284
119,40350,UIC-Halsted,02/06/2018,W,7290
120,40350,UIC-Halsted,01/11/2018,W,3024
121,40350,UIC-Halsted,04/25/2018,W,7331
122,40350,UIC-Halsted,05/20/2018,U,1094
123,40350,UIC-Halsted,06/04/2018,W,3195
124,40350,UIC-Halsted,04/11/2018,W,7308
125,40350,UIC-Halsted,04/12/2018,W,7150
126,40350,UIC-Halsted,06/21/2018,W,3480
127,40350,UIC-Halsted,05/18/2018,W,3089
128,40350,UIC-Halsted,04/24/2018,W,7052
129,40350,UIC-Halsted,04/06/2018,W,6692
130,40350,UIC-Halsted,06/27/2018,W,3990
131,40350,UIC-Halsted,06/08/2018,W,3605
132,40350,UIC-Halsted,04/04/2018,W,7153
133,40350,UIC-Halsted,06/20/2018,W,3986
134,40350,UIC-Halsted,06/11/2018,W,3310
135,40350,UIC-Halsted,04/14/2018,A,1999
136,40350,UIC-Halsted,04/08/2018,U,1391
