,station_id,stationname,date,daytype,rides
0,41400,Roosevelt,12/31/2017,U,4775
1,41400,Roosevelt,12/27/2017,W,6404
2,41400,Roosevelt,12/14/2017,W,10434
3,41400,Roosevelt,12/09/2017,A,7331
4,41400,Roosevelt,12/18/2017,W,9385
5,41400,Roosevelt,12/02/2017,A,8747
6,41400,Roosevelt,12/08/2017,W,11275
7,41400,Roosevelt,12/28/2017,W,7382
8,41400,Roosevelt,12/06/2017,W,10861
9,41400,Roosevelt,12/15/2017,W,10670
10,41400,Roosevelt,12/16/2017,A,8071
11,41400,Roosevelt,12/10/2017,U,5770
12,41400,Roosevelt,12/05/2017,W,10721
13,41400,Roosevelt,12/17/2017,U,5627
14,41400,Roosevelt,12/01/2017,W,11844
15,41400,Roosevelt,12/24/2017,U,7317
16,41400,Roosevelt,12/21/2017,W,9766
17,41400,Roosevelt,12/29/2017,W,8067
18,41400,Roosevelt,12/19/2017,W,9745
19,41400,Roosevelt,12/25/2017,U,1949
20,41400,Roosevelt,12/04/2017,W,10637
21,41400,Roosevelt,12/13/2017,W,10250
22,41400,Roosevelt,12/20/2017,W,9817
23,41400,Roosevelt,12/30/2017,A,5507
24,41400,Roosevelt,12/03/2017,U,9972
25,41400,Roosevelt,12/23/2017,A,6323
26,41400,Roosevelt,12/26/2017,W,5535
27,41400,Roosevelt,12/12/2017,W,10052
28,41400,Roosevelt,12/11/2017,W,10001
29,41400,Roosevelt,12/07/2017,W,10647
30,41400,Roosevelt,12/22/2017,W,9569
31,41400,Roosevelt,02/09/2018,W,7550
32,41400,Roosevelt,03/03/2018,A,8131
33,41400,Roosevelt,01/23/2018,W,10239
34,41400,Roosevelt,01/19/2018,W,10342
35,41400,Roosevelt,01/09/2018,W,9271
36,41400,Roosevelt,01/22/2018,W,9872
37,41400,Roosevelt,03/01/2018,W,10402
38,41400,Roosevelt,03/06/2018,W,10145
39,41400,Roosevelt,03/12/2018,W,10200
40,41400,Roosevelt,02/02/2018,W,10035
41,41400,Roosevelt,01/04/2018,W,8260
42,41400,Roosevelt,02/08/2018,W,10358
43,41400,Roosevelt,02/06/2018,W,9888
44,41400,Roosevelt,03/16/2018,W,11222
45,41400,Roosevelt,03/27/2018,W,10365
46,41400,Roosevelt,01/11/2018,W,9445
47,41400,Roosevelt,01/08/2018,W,8959
48,41400,Roosevelt,03/18/2018,U,6290
49,41400,Roosevelt,02/05/2018,W,9137
50,41400,Roosevelt,01/29/2018,W,9462
51,41400,Roosevelt,03/21/2018,W,9771
52,41400,Roosevelt,01/27/2018,A,7592
53,41400,Roosevelt,03/09/2018,W,10763
54,41400,Roosevelt,01/14/2018,U,4838
55,41400,Roosevelt,01/06/2018,A,5904
56,41400,Roosevelt,01/07/2018,U,4552
57,41400,Roosevelt,03/31/2018,A,7214
58,41400,Roosevelt,02/13/2018,W,10606
59,41400,Roosevelt,01/17/2018,W,9320
60,41400,Roosevelt,02/11/2018,U,5016
61,41400,Roosevelt,03/29/2018,W,10443
62,41400,Roosevelt,01/24/2018,W,10197
63,41400,Roosevelt,03/30/2018,W,10313
64,41400,Roosevelt,02/20/2018,W,10253
65,41400,Roosevelt,03/14/2018,W,10469
66,41400,Roosevelt,01/12/2018,W,9282
67,41400,Roosevelt,02/22/2018,W,10740
68,41400,Roosevelt,03/13/2018,W,10565
69,41400,Roosevelt,02/23/2018,W,10733
70,41400,Roosevelt,02/03/2018,A,6633
71,41400,Roosevelt,02/27/2018,W,10535
72,41400,Roosevelt,02/17/2018,A,8069
73,41400,Roosevelt,01/31/2018,W,10158
74,41400,Roosevelt,01/30/2018,W,9847
75,41400,Roosevelt,02/07/2018,W,9892
76,41400,Roosevelt,01/25/2018,W,10466
77,41400,Roosevelt,03/19/2018,W,9835
78,41400,Roosevelt,03/25/2018,U,7024
79,41400,Roosevelt,02/26/2018,W,9991
80,41400,Roosevelt,02/01/2018,W,10077
81,41400,Roosevelt,03/17/2018,A,9753
82,41400,Roosevelt,03/08/2018,W,10313
83,41400,Roosevelt,03/07/2018,W,10388
84,41400,Roosevelt,01/20/2018,A,8979
85,41400,Roosevelt,02/25/2018,U,6186
86,41400,Roosevelt,03/26/2018,W,9880
87,41400,Roosevelt,01/02/2018,W,7109
88,41400,Roosevelt,01/13/2018,A,6141
89,41400,Roosevelt,03/11/2018,U,5697
90,41400,Roosevelt,03/15/2018,W,10925
91,41400,Roosevelt,03/22/2018,W,9913
92,41400,Roosevelt,02/16/2018,W,10996
93,41400,Roosevelt,02/28/2018,W,10378
94,41400,Roosevelt,03/23/2018,W,10412
95,41400,Roosevelt,03/10/2018,A,7566
96,41400,Roosevelt,01/21/2018,U,5259
97,41400,Roosevelt,02/10/2018,A,6635
98,41400,Roosevelt,02/04/2018,U,4638
99,41400,Roosevelt,01/16/2018,W,9418
100,41400,Roosevelt,02/18/2018,U,6494
101,41400,Roosevelt,01/15/2018,W,7857
102,41400,Roosevelt,03/24/2018,A,7704
103,41400,Roosevelt,03/05/2018,W,9841
104,41400,Roosevelt,01/18/2018,W,9704
105,41400,Roosevelt,03/28/2018,W,10669
106,41400,Roosevelt,01/10/2018,W,9431
107,41400,Roosevelt,02/15/2018,W,10458
108,41400,Roosevelt,02/19/2018,W,8950
109,41400,Roosevelt,02/14/2018,W,11067
110,41400,Roosevelt,02/21/2018,W,10322
111,41400,Roosevelt,02/24/2018,A,7994
112,41400,Roosevelt,03/04/2018,U,5791
113,41400,Roosevelt,03/02/2018,W,10570
114,41400,Roosevelt,02/12/2018,W,9645
115,41400,Roosevelt,01/26/2018,W,10513
116,41400,Roosevelt,01/28/2018,U,5585
117,41400,Roosevelt,03/20/2018,W,9800
118,41400,Roosevelt,01/01/2018,U,3546
119,41400,Roosevelt,01/03/2018,W,8267
120,41400,Roosevelt,01/05/2018,W,8333
121,41400,Roosevelt,04/14/2018,A,7194
122,41400,Roosevelt,05/29/2018,W,10181
123,41400,Roosevelt,06/13/2018,W,10752
124,41400,Roosevelt,04/26/2018,W,11114
125,41400,Roosevelt,05/17/2018,W,10248
126,41400,Roosevelt,05/14/2018,W,9339
127,41400,Roosevelt,05/30/2018,W,9891
128,41400,Roosevelt,05/20/2018,U,5762
129,41400,Roosevelt,06/09/2018,A,8247
130,41400,Roosevelt,04/07/2018,A,7942
131,41400,Roosevelt,06/11/2018,W,10578
132,41400,Roosevelt,06/30/2018,A,9438
133,41400,Roosevelt,05/11/2018,W,11649
134,41400,Roosevelt,05/04/2018,W,11591
135,41400,Roosevelt,05/01/2018,W,11410
136,41400,Roosevelt,04/03/2018,W,10186
137,41400,Roosevelt,06/10/2018,U,6602
138,41400,Roosevelt,04/06/2018,W,11000
139,41400,Roosevelt,06/01/2018,W,14299
140,41400,Roosevelt,06/03/2018,U,6745
141,41400,Roosevelt,05/09/2018,W,10748
142,41400,Roosevelt,05/16/2018,W,10238
143,41400,Roosevelt,06/02/2018,A,11898
144,41400,Roosevelt,05/12/2018,A,7499
145,41400,Roosevelt,04/10/2018,W,10429
146,41400,Roosevelt,06/04/2018,W,10163
147,41400,Roosevelt,06/29/2018,W,11878
148,41400,Roosevelt,04/11/2018,W,10643
149,41400,Roosevelt,05/22/2018,W,10622
150,41400,Roosevelt,04/20/2018,W,11018
151,41400,Roosevelt,05/26/2018,A,8913
152,41400,Roosevelt,06/24/2018,U,9819
153,41400,Roosevelt,05/07/2018,W,10519
154,41400,Roosevelt,04/08/2018,U,5529
155,41400,Roosevelt,04/25/2018,W,10491
156,41400,Roosevelt,04/17/2018,W,10743
157,41400,Roosevelt,06/28/2018,W,10892
158,41400,Roosevelt,04/27/2018,W,11199
159,41400,Roosevelt,06/26/2018,W,10582
160,41400,Roosevelt,04/23/2018,W,9829
161,41400,Roosevelt,05/31/2018,W,11086
162,41400,Roosevelt,05/27/2018,U,7397
163,41400,Roosevelt,04/12/2018,W,10974
164,41400,Roosevelt,06/05/2018,W,11228
165,41400,Roosevelt,05/10/2018,W,11301
166,41400,Roosevelt,05/18/2018,W,10947
167,41400,Roosevelt,06/25/2018,W,10366
168,41400,Roosevelt,04/29/2018,U,6472
169,41400,Roosevelt,04/15/2018,U,5109
170,41400,Roosevelt,05/24/2018,W,11250
171,41400,Roosevelt,06/12/2018,W,10754
172,41400,Roosevelt,06/21/2018,W,10222
173,41400,Roosevelt,06/18/2018,W,10816
174,41400,Roosevelt,06/23/2018,A,10237
